,flight_id,precipitation,wind,dep_delay,carrier,origin_name,origin_city,origin_country,dest_name,dest_city,dest_country,distance_km,aircraft_type,scheduled_departure
0,BA8305-478093,Dry,Calm,2,British Airways,Shannon Airport,Shannon,Ireland,London City Airport,London,United Kingdom,627,Regional,2024-08-20 23:24:00
1,FR3341-388038,Dry,Very Windy,20,Ryanair,Belfast International Airport,Belfast,United Kingdom,Dublin Airport,Dublin,Ireland,138,Regional,2024-12-03 21:47:00
2,U22034-811074,Dry,Breezy,2,easyJet,London Heathrow Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,555,Regional,2024-04-17 12:39:00
3,U22075-638687,Light,Very Windy,34,easyJet,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Widebody,2024-03-24 06:20:00
4,BA8888-064952,Heavy,Breezy,0,British Airways,Shannon Airport,Shannon,Ireland,London Gatwick Airport,London,United Kingdom,623,Narrowbody,2024-11-12 19:51:00
5,U29547-903181,Dry,Breezy,7,easyJet,London Gatwick Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,485,Narrowbody,2024-06-02 17:17:00
6,EI5077-785120,Light,Windy,1,Aer Lingus,Belfast International Airport,Belfast,United Kingdom,Shannon Airport,Shannon,Ireland,281,Widebody,2024-01-28 19:31:00
7,U28607-408782,Light,Calm,29,easyJet,London Heathrow Airport,London,United Kingdom,London City Airport,London,United Kingdom,36,Regional,2024-07-01 09:16:00
8,EI2640-049388,Light,Windy,9,Aer Lingus,London Heathrow Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,450,Regional,2024-07-24 17:12:00
9,EI4123-038646,Light,Windy,0,Aer Lingus,Shannon Airport,Shannon,Ireland,Belfast International Airport,Belfast,United Kingdom,281,Regional,2024-03-21 03:49:00
10,FR6845-081174,Light,Windy,22,Ryanair,London City Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,568,Regional,2024-08-30 14:06:00
11,FR776-835138,Moderate,Calm,4,Ryanair,London City Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody,2024-07-24 20:53:00
12,FR0160-673997,Dry,Breezy,6,Ryanair,Belfast International Airport,Belfast,United Kingdom,Dublin Airport,Dublin,Ireland,138,Widebody,2024-01-14 00:10:00
13,BA0553-087806,Moderate,Very Windy,8,British Airways,London Heathrow Airport,London,United Kingdom,London Gatwick Airport,London,United Kingdom,40,Widebody,2024-01-12 21:09:00
14,FR224-399045,Dry,Breezy,1,Ryanair,Dublin Airport,Dublin,Ireland,London Gatwick Airport,London,United Kingdom,485,Widebody,2024-11-12 21:34:00
15,EI2230-116439,Dry,Breezy,0,Aer Lingus,Glasgow Airport,Glasgow,United Kingdom,London Gatwick Airport,London,United Kingdom,595,Narrowbody,2024-08-16 07:18:00
16,EI7511-091690,Light,Windy,0,Aer Lingus,London Heathrow Airport,London,United Kingdom,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody,2024-03-05 21:46:00
17,U21451-594186,Dry,Calm,38,easyJet,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Narrowbody,2024-08-14 12:15:00
18,FR9269-677098,Light,Windy,20,Ryanair,London Gatwick Airport,London,United Kingdom,Shannon Airport,Shannon,Ireland,623,Narrowbody,2024-03-12 23:46:00
19,FR3751-118482,Moderate,Calm,36,Ryanair,London Gatwick Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,595,Regional,2024-06-14 05:44:00
20,BA3335-893850,Dry,Windy,36,British Airways,London City Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,478,Narrowbody,2024-03-05 13:05:00
21,FR9476-011476,Dry,Very Windy,15,Ryanair,London City Airport,London,United Kingdom,London Heathrow Airport,London,United Kingdom,36,Widebody,2024-05-11 01:56:00
22,EI4997-341320,Dry,Breezy,0,Aer Lingus,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Widebody,2024-07-06 20:35:00
23,FR1342-280716,Dry,Calm,9,Ryanair,Dublin Airport,Dublin,Ireland,Belfast International Airport,Belfast,United Kingdom,138,Regional,2024-06-24 15:16:00
24,FR9824-367504,Dry,Breezy,0,Ryanair,Shannon Airport,Shannon,Ireland,London Gatwick Airport,London,United Kingdom,623,Widebody,2024-02-26 12:08:00
25,FR2956-308203,Dry,Calm,7,Ryanair,Dublin Airport,Dublin,Ireland,Shannon Airport,Shannon,Ireland,195,Regional,2024-09-11 03:00:00
26,FR860-125511,Dry,Windy,26,Ryanair,Glasgow Airport,Glasgow,United Kingdom,London City Airport,London,United Kingdom,568,Widebody,2024-05-13 11:00:00
