flight_id,flight_date,sched_dep_time,sched_arr_time,carrier_code,carrier,flight_number,origin,origin_name,origin_city,origin_country,dest,dest_name,dest_city,dest_country,distance_km,aircraft_type
BA8305-478093,2024-08-20,22:10,23:24,BA,British Airways,BA8305,SNN,Shannon Airport,Shannon,Ireland,LCY,London City Airport,London,United Kingdom,627,Regional
FR3341-388038,2024-12-03,21:15,21:47,FR,Ryanair,FR3341,BFS,Belfast International Airport,Belfast,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,138,Regional
U22034-811074,2024-04-17,11:35,12:39,U2,easyJet,U22034,LHR,London Heathrow Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,555,Regional
U22075-638687,2024-03-24,06:00,06:20,U2,easyJet,U22075,LGW,London Gatwick Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,42,Widebody
BA8888-064952,2024-11-12,18:40,19:51,BA,British Airways,BA8888,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Narrowbody
U29547-903181,2024-06-02,16:20,17:17,U2,easyJet,U29547,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Narrowbody
EI5077-785120,2024-01-28,18:55,19:31,EI,Aer Lingus,EI5077,BFS,Belfast International Airport,Belfast,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,281,Widebody
U28607-408782,2024-07-01,09:00,09:16,U2,easyJet,U28607,LHR,London Heathrow Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,36,Regional
EI2640-049388,2024-07-24,16:10,17:12,EI,Aer Lingus,EI2640,LHR,London Heathrow Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,450,Regional
EI4123-038646,2024-03-21,03:10,03:49,EI,Aer Lingus,EI4123,SNN,Shannon Airport,Shannon,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,281,Regional
FR6845-081174,2024-08-30,12:55,14:06,FR,Ryanair,FR6845,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Regional
FR776-835138,2024-07-24,19:55,20:53,FR,Ryanair,FR776,LCY,London City Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody
FR0160-673997,2024-01-14,23:40,00:10,FR,Ryanair,FR0160,BFS,Belfast International Airport,Belfast,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,138,Widebody
BA0553-087806,2024-01-12,20:45,21:09,BA,British Airways,BA0553,LHR,London Heathrow Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,40,Widebody
FR224-399045,2024-11-12,20:40,21:34,FR,Ryanair,FR224,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Widebody
EI2230-116439,2024-08-16,06:10,07:18,EI,Aer Lingus,EI2230,GLA,Glasgow Airport,Glasgow,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,595,Narrowbody
EI7511-091690,2024-03-05,20:45,21:46,EI,Aer Lingus,EI7511,LHR,London Heathrow Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody
U21451-594186,2024-08-14,11:45,12:15,U2,easyJet,U21451,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Narrowbody
FR9269-677098,2024-03-12,22:40,23:46,FR,Ryanair,FR9269,LGW,London Gatwick Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,623,Narrowbody
FR3751-118482,2024-06-14,04:35,05:44,FR,Ryanair,FR3751,LGW,London Gatwick Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,595,Regional
BA3335-893850,2024-03-05,12:00,13:05,BA,British Airways,BA3335,LCY,London City Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,478,Narrowbody
FR9476-011476,2024-05-11,01:40,01:56,FR,Ryanair,FR9476,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Widebody
EI4997-341320,2024-07-06,20:05,20:35,EI,Aer Lingus,EI4997,DUB,Dublin Airport,Dublin,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,138,Widebody
FR1342-280716,2024-06-24,14:50,15:16,FR,Ryanair,FR1342,DUB,Dublin Airport,Dublin,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,138,Regional
FR9824-367504,2024-02-26,11:00,12:08,FR,Ryanair,FR9824,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Widebody
FR2956-308203,2024-09-11,02:30,03:00,FR,Ryanair,FR2956,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Regional
FR860-125511,2024-05-13,09:55,11:00,FR,Ryanair,FR860,GLA,Glasgow Airport,Glasgow,United Kingdom,LCY,London City Airport,London,United Kingdom,568,Widebody
U27642-051795,2024-08-29,10:50,11:56,U2,easyJet,U27642,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Narrowbody
U28746-132275,2024-07-01,01:50,02:48,U2,easyJet,U28746,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Narrowbody
FR1600-084670,2024-06-23,12:30,13:42,FR,Ryanair,FR1600,LHR,London Heathrow Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,594,Widebody
