,flight_id,precipitation,wind,dep_delay,flight_date,sched_dep_time,sched_arr_time,carrier_code,carrier,flight_number,origin,origin_name,origin_city,origin_country,dest,dest_name,dest_city,dest_country,distance_km,aircraft_type
0,BA8305-478093,Dry,Calm,2,2024-08-20,22:10,23:24,BA,British Airways,BA8305,SNN,Shannon Airport,Shannon,Ireland,LCY,London City Airport,London,United Kingdom,627,Regional
1,FR3341-388038,Dry,VeryWindy,20,2024-12-03,21:15,21:47,FR,Ryanair,FR3341,BFS,Belfast International Airport,Belfast,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,138,Regional
2,U22034-811074,Dry,Breezy,2,2024-04-17,11:35,12:39,U2,easyJet,U22034,LHR,London Heathrow Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,555,Regional
3,U22075-638687,Light,VeryWindy,34,2024-03-24,06:00,06:20,U2,easyJet,U22075,LGW,London Gatwick Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,42,Widebody
4,BA8888-064952,Heavy,Breezy,0,2024-11-12,18:40,19:51,BA,British Airways,BA8888,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Narrowbody
5,U29547-903181,Dry,Breezy,7,2024-06-02,16:20,17:17,U2,easyJet,U29547,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Narrowbody
6,EI5077-785120,Light,Windy,1,2024-01-28,18:55,19:31,EI,Aer Lingus,EI5077,BFS,Belfast International Airport,Belfast,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,281,Widebody
7,U28607-408782,Light,Calm,29,2024-07-01,09:00,09:16,U2,easyJet,U28607,LHR,London Heathrow Airport,London,United Kingdom,LCY,London City Airport,London,United Kingdom,36,Regional
8,EI2640-049388,Light,Windy,9,2024-07-24,16:10,17:12,EI,Aer Lingus,EI2640,LHR,London Heathrow Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,450,Regional
9,EI4123-038646,Light,Windy,0,2024-03-21,03:10,03:49,EI,Aer Lingus,EI4123,SNN,Shannon Airport,Shannon,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,281,Regional
10,FR6845-081174,Light,Windy,22,2024-08-30,12:55,14:06,FR,Ryanair,FR6845,LCY,London City Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,568,Regional
11,FR776-835138,Moderate,Calm,4,2024-07-24,19:55,20:53,FR,Ryanair,FR776,LCY,London City Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,546,Narrowbody
12,FR0160-673997,Dry,Breezy,6,2024-01-14,23:40,00:10,FR,Ryanair,FR0160,BFS,Belfast International Airport,Belfast,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,138,Widebody
13,BA0553-087806,Moderate,VeryWindy,8,2024-01-12,20:45,21:09,BA,British Airways,BA0553,LHR,London Heathrow Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,40,Widebody
14,FR224-399045,Dry,Breezy,1,2024-11-12,20:40,21:34,FR,Ryanair,FR224,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Widebody
15,EI2230-116439,Dry,Breezy,0,2024-08-16,06:10,07:18,EI,Aer Lingus,EI2230,GLA,Glasgow Airport,Glasgow,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,595,Narrowbody
16,EI7511-091690,Light,Windy,0,2024-03-05,20:45,21:46,EI,Aer Lingus,EI7511,LHR,London Heathrow Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody
17,U21451-594186,Dry,Calm,38,2024-08-14,11:45,12:15,U2,easyJet,U21451,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Narrowbody
18,FR9269-677098,Light,Windy,20,2024-03-12,22:40,23:46,FR,Ryanair,FR9269,LGW,London Gatwick Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,623,Narrowbody
19,FR3751-118482,Moderate,Calm,36,2024-06-14,04:35,05:44,FR,Ryanair,FR3751,LGW,London Gatwick Airport,London,United Kingdom,GLA,Glasgow Airport,Glasgow,United Kingdom,595,Regional
20,BA3335-893850,Dry,Windy,36,2024-03-05,12:00,13:05,BA,British Airways,BA3335,LCY,London City Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,478,Narrowbody
21,FR9476-011476,Dry,VeryWindy,15,2024-05-11,01:40,01:56,FR,Ryanair,FR9476,LCY,London City Airport,London,United Kingdom,LHR,London Heathrow Airport,London,United Kingdom,36,Widebody
22,EI4997-341320,Dry,Breezy,0,2024-07-06,20:05,20:35,EI,Aer Lingus,EI4997,DUB,Dublin Airport,Dublin,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,138,Widebody
23,FR1342-280716,Dry,Calm,9,2024-06-24,14:50,15:16,FR,Ryanair,FR1342,DUB,Dublin Airport,Dublin,Ireland,BFS,Belfast International Airport,Belfast,United Kingdom,138,Regional
24,FR9824-367504,Dry,Breezy,0,2024-02-26,11:00,12:08,FR,Ryanair,FR9824,SNN,Shannon Airport,Shannon,Ireland,LGW,London Gatwick Airport,London,United Kingdom,623,Widebody
25,FR2956-308203,Dry,Calm,7,2024-09-11,02:30,03:00,FR,Ryanair,FR2956,DUB,Dublin Airport,Dublin,Ireland,SNN,Shannon Airport,Shannon,Ireland,195,Regional
26,FR860-125511,Dry,Windy,26,2024-05-13,09:55,11:00,FR,Ryanair,FR860,GLA,Glasgow Airport,Glasgow,United Kingdom,LCY,London City Airport,London,United Kingdom,568,Widebody
27,U27642-051795,Dry,Breezy,7,2024-08-29,10:50,11:56,U2,easyJet,U27642,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Narrowbody
28,U28746-132275,Dry,Calm,3,2024-07-01,01:50,02:48,U2,easyJet,U28746,LGW,London Gatwick Airport,London,United Kingdom,DUB,Dublin Airport,Dublin,Ireland,485,Narrowbody
29,FR1600-084670,Dry,Calm,0,2024-06-23,12:30,13:42,FR,Ryanair,FR1600,LHR,London Heathrow Airport,London,United Kingdom,SNN,Shannon Airport,Shannon,Ireland,594,Widebody
30,U29758-934135,Dry,Breezy,0,2024-05-23,19:15,20:13,U2,easyJet,U29758,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Narrowbody
31,BA3825-282522,Dry,Calm,1,2024-02-07,13:45,14:03,BA,British Airways,BA3825,LHR,London Heathrow Airport,London,United Kingdom,LGW,London Gatwick Airport,London,United Kingdom,40,Narrowbody
32,U29060-717686,Moderate,Calm,2,2024-12-22,20:20,21:20,U2,easyJet,U29060,DUB,Dublin Airport,Dublin,Ireland,LHR,London Heathrow Airport,London,United Kingdom,450,Widebody
33,EI2552-426260,Dry,Breezy,4,2024-04-03,03:35,04:35,EI,Aer Lingus,EI2552,LHR,London Heathrow Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,523,Narrowbody
34,U20026-752832,Dry,Breezy,9,2024-08-10,19:50,20:52,U2,easyJet,U20026,SNN,Shannon Airport,Shannon,Ireland,LHR,London Heathrow Airport,London,United Kingdom,594,Narrowbody
35,U23361-420526,Dry,Calm,6,2024-04-11,18:35,19:35,U2,easyJet,U23361,LCY,London City Airport,London,United Kingdom,BFS,Belfast International Airport,Belfast,United Kingdom,546,Widebody
36,U26718-403183,Dry,Windy,0,2024-10-22,22:10,23:07,U2,easyJet,U26718,DUB,Dublin Airport,Dublin,Ireland,LGW,London Gatwick Airport,London,United Kingdom,485,Narrowbody
