,flight_id,precipitation,wind,dep_delay,carrier,origin_name,origin_city,origin_country,dest_name,dest_city,dest_country,distance_km,aircraft_type,scheduled_departure,scheduled_arrival,delayed,departure_hour,departure_dayofweek,departure_month,flight_duration_mins,bad_weather,origin_flight_count,peak_hour_departure
0,BA8305-478093,0,0,2,British Airways,Shannon Airport,Shannon,Ireland,London City Airport,London,United Kingdom,627,Regional,2024-08-20 22:10:00,2024-08-20 23:24:00,0,22,1,8,74.0,0,458,0
1,FR3341-388038,0,3,20,Ryanair,Belfast International Airport,Belfast,United Kingdom,Dublin Airport,Dublin,Ireland,138,Regional,2024-12-03 21:15:00,2024-12-03 21:47:00,1,21,1,12,32.0,1,400,0
2,U22034-811074,0,1,2,easyJet,London Heathrow Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,555,Regional,2024-04-17 11:35:00,2024-04-17 12:39:00,0,11,2,4,64.0,0,411,0
3,U22075-638687,1,3,34,easyJet,London Gatwick Airport,London,United Kingdom,London City Airport,London,United Kingdom,42,Widebody,2024-03-24 06:00:00,2024-03-24 06:20:00,1,6,6,3,20.0,1,432,1
4,BA8888-064952,3,1,0,British Airways,Shannon Airport,Shannon,Ireland,London Gatwick Airport,London,United Kingdom,623,Narrowbody,2024-11-12 18:40:00,2024-11-12 19:51:00,0,18,1,11,71.0,1,458,1
5,U29547-903181,0,1,7,easyJet,London Gatwick Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,485,Narrowbody,2024-06-02 16:20:00,2024-06-02 17:17:00,0,16,6,6,57.0,0,432,1
6,EI5077-785120,1,2,1,Aer Lingus,Belfast International Airport,Belfast,United Kingdom,Shannon Airport,Shannon,Ireland,281,Widebody,2024-01-28 18:55:00,2024-01-28 19:31:00,0,18,6,1,36.0,1,400,1
7,U28607-408782,1,0,29,easyJet,London Heathrow Airport,London,United Kingdom,London City Airport,London,United Kingdom,36,Regional,2024-07-01 09:00:00,2024-07-01 09:16:00,1,9,0,7,16.0,0,411,1
8,EI2640-049388,1,2,9,Aer Lingus,London Heathrow Airport,London,United Kingdom,Dublin Airport,Dublin,Ireland,450,Regional,2024-07-24 16:10:00,2024-07-24 17:12:00,0,16,2,7,62.0,1,411,1
9,EI4123-038646,1,2,0,Aer Lingus,Shannon Airport,Shannon,Ireland,Belfast International Airport,Belfast,United Kingdom,281,Regional,2024-03-21 03:10:00,2024-03-21 03:49:00,0,3,3,3,39.0,1,458,0
10,FR6845-081174,1,2,22,Ryanair,London City Airport,London,United Kingdom,Glasgow Airport,Glasgow,United Kingdom,568,Regional,2024-08-30 12:55:00,2024-08-30 14:06:00,1,12,4,8,71.0,1,445,0
