flight_id,precipitation,wind,dep_delay
BA8305-478093,Dry,Calm,2
FR3341-388038,Dry,VeryWindy,20
U22034-811074,Dry,Breezy,2
U22075-638687,Light,VeryWindy,34
BA8888-064952,Heavy,Breezy,0
U29547-903181,Dry,Breezy,7
EI5077-785120,Light,Windy,1
U28607-408782,Light,Calm,29
EI2640-049388,Light,Windy,9
EI4123-038646,Light,Windy,0
FR6845-081174,Light,Windy,22
FR776-835138,Moderate,Calm,4
FR0160-673997,Dry,Breezy,6
BA0553-087806,Moderate,VeryWindy,8
FR224-399045,Dry,Breezy,1
EI2230-116439,Dry,Breezy,0
EI7511-091690,Light,Windy,0
U21451-594186,Dry,Calm,38
FR9269-677098,Light,Windy,20
FR3751-118482,Moderate,Calm,36
BA3335-893850,Dry,Windy,36
FR9476-011476,Dry,VeryWindy,15
EI4997-341320,Dry,Breezy,0
FR1342-280716,Dry,Calm,9
FR9824-367504,Dry,Breezy,0
FR2956-308203,Dry,Calm,7
FR860-125511,Dry,Windy,26
U27642-051795,Dry,Breezy,7
U28746-132275,Dry,Calm,3
FR1600-084670,Dry,Calm,0
U29758-934135,Dry,Breezy,0
BA3825-282522,Dry,Calm,1
U29060-717686,Moderate,Calm,2
EI2552-426260,Dry,Breezy,4
U20026-752832,Dry,Breezy,9
U23361-420526,Dry,Calm,6
U26718-403183,Dry,Windy,0
FR8358-406291,Dry,Breezy,8
BA8506-980465,Dry,Windy,3
U21212-000430,Dry,Windy,7
U27181-797748,Heavy,Breezy,7
U22643-553296,Dry,Windy,33
FR4028-855709,Dry,Breezy,17
EI5089-245243,Heavy,Breezy,1
U22824-240878,Light,Breezy,7
BA0502-505373,Light,Breezy,10
U25378-446467,Dry,VeryWindy,1
EI2554-796442,Dry,Breezy,4
EI1632-791921,Dry,Breezy,0
EI7438-602076,Dry,Calm,2
EI5692-305954,Light,Windy,6
U28854-779428,Dry,Windy,0
U23814-593308,Dry,Breezy,3
FR2647-074916,Light,Calm,23
BA1612-347113,Heavy,Breezy,6
FR4950-991708,Dry,Windy,5
EI5396-280595,Light,VeryWindy,17
U22760-931719,Light,Breezy,20
BA3505-656454,Dry,Breezy,1
U29652-263256,Dry,Breezy,5
EI5403-889236,Dry,Breezy,0
BA1309-505060,Dry,Breezy,6
EI3232-883612,Dry,Windy,4
FR9174-330975,Light,Breezy,10
FR4397-308613,Dry,Calm,17
U22173-757345,Dry,VeryWindy,5
FR8890-108935,Moderate,Calm,15
U26245-217192,Light,Windy,5
FR2669-931372,Moderate,Windy,6
EI7951-496406,Light,Calm,8
FR8855-645967,Light,Calm,4
FR7286-937347,Heavy,Breezy,24
BA9809-094058,Light,Breezy,0
EI9100-117277,Dry,Windy,2
FR8613-589623,Dry,Breezy,33
EI075-020536,Light,Breezy,0
FR7686-114515,Dry,Calm,1
FR2713-100487,Moderate,Calm,22
FR3711-633556,Dry,VeryWindy,44
EI2653-155038,Dry,Windy,4
BA8512-820581,Dry,Breezy,6
FR5701-221418,Light,Calm,8
FR8316-305147,Dry,Calm,0
U20390-731193,Dry,Calm,8
BA0526-676552,Dry,Calm,5
BA4928-807579,Dry,Calm,0
FR9813-120542,Moderate,Calm,9
FR1915-896905,Dry,Breezy,30
BA1531-037701,Dry,Calm,3
FR975-731330,Light,VeryWindy,37
U25262-800687,Light,Calm,5
BA910-755024,Light,Breezy,8
EI4418-590433,Light,Calm,1
FR8443-637529,Dry,Breezy,7
U26404-333430,Moderate,Calm,5
U28162-800081,Dry,Windy,4
U24927-830677,Light,Calm,0
EI1350-397910,Light,Breezy,1
FR7166-080124,Dry,Breezy,32
BA0744-278294,Moderate,Calm,9
BA686-311089,Light,Calm,3
EI7155-304898,Moderate,VeryWindy,24
EI3639-306392,Dry,Calm,3
FR3183-510364,Light,Windy,9
U21750-098916,Dry,VeryWindy,33
BA3261-396673,Light,Breezy,5
FR6835-668223,Light,Calm,2
BA7054-673932,Light,Breezy,2
EI5929-147398,Light,Calm,3
BA1066-555492,Dry,VeryWindy,41
FR8278-374698,Heavy,Breezy,49
EI4328-663107,Dry,Windy,0
U28353-821941,Dry,Windy,3
BA9277-212333,Dry,VeryWindy,37
FR3186-299239,Dry,Windy,3
BA5979-258919,Dry,Breezy,6
EI8451-169991,Dry,Windy,6
BA1989-741486,Light,Breezy,5
EI3271-895773,Light,Breezy,5
BA4742-034113,Dry,Calm,0
U20288-469786,Dry,Calm,17
EI8814-208586,Dry,Breezy,10
EI5807-938575,Light,Breezy,15
EI2013-188988,Light,VeryWindy,8
U26375-237946,Dry,Breezy,0
BA4652-721164,Dry,Breezy,4
U22348-438365,Moderate,Breezy,4
EI5567-065743,Dry,Calm,2
FR4776-331789,Light,Calm,2
EI1302-323007,Dry,VeryWindy,5
EI7821-087420,Moderate,Windy,0
EI8700-143798,Light,VeryWindy,3
FR0573-745295,Dry,Calm,5
EI8084-788937,Light,Breezy,5
FR2217-284485,Light,Windy,8
FR1882-551630,Moderate,Calm,8
BA8733-151626,Light,Breezy,3
U25799-123039,Dry,Windy,19
EI4890-472819,Moderate,Windy,11
EI0927-648219,Light,Calm,8
EI0542-731813,Dry,Windy,4
BA7643-434773,Light,VeryWindy,35
EI8205-031799,Dry,Breezy,2
U22528-860157,Moderate,Calm,3
EI3965-206803,Dry,Calm,0
BA4051-483544,Light,Calm,0
BA7595-709488,Dry,Breezy,5
BA779-241586,Dry,VeryWindy,40
FR6360-037575,Heavy,Breezy,0
U28213-819575,Dry,Breezy,3
U28947-089673,Dry,Breezy,23
EI9431-293247,Moderate,Calm,2
BA5323-521366,Dry,Breezy,3
EI3476-333095,Light,Calm,7
FR9814-624374,Moderate,Windy,44
U28419-311790,Dry,Breezy,9
U28888-465584,Light,Calm,33
U20118-302391,Dry,Calm,5
BA1736-859300,Moderate,Breezy,4
FR3724-748179,Moderate,Breezy,37
U27919-752041,Light,Calm,0
BA9990-582842,Light,Windy,4
FR4312-356490,Moderate,Breezy,21
FR211-266236,Dry,Calm,1
U20613-803722,Light,Windy,3
EI2666-647776,Dry,Breezy,0
BA4779-272788,Dry,Calm,9
EI7408-924585,Heavy,VeryWindy,5
U28809-409471,Moderate,Windy,34
FR7148-251826,Dry,Windy,5
U24388-815380,Light,VeryWindy,2
U21268-487657,Light,Calm,3
FR7667-655571,Dry,Breezy,4
EI2425-764002,Dry,VeryWindy,1
FR7564-914865,Dry,Windy,17
EI4515-500583,Light,Windy,4
BA8463-707518,Light,Breezy,5
U25423-180039,Dry,Windy,3
FR2130-381971,Light,Windy,25
U25734-081897,Dry,Calm,4
EI3844-659360,Dry,Calm,0
U21695-335643,Light,Calm,6
BA8118-364162,Light,Windy,2
U25875-442503,Dry,Calm,8
U28554-358854,Light,Breezy,7
BA0377-116688,Dry,Breezy,2
BA9630-646250,Moderate,Breezy,8
BA1835-290299,Light,Windy,4
BA1483-659899,Light,VeryWindy,3
BA9483-387506,Dry,Breezy,3
EI2322-738957,Dry,Windy,0
EI6528-271754,Light,Breezy,10
BA1445-105786,Light,Calm,5
BA4170-849145,Dry,Windy,5
BA3748-041015,Moderate,Breezy,0
EI6541-904092,Dry,Calm,0
FR5295-512698,Dry,Breezy,20
U21419-664273,Dry,Calm,4
FR7282-610103,Light,Breezy,0
EI2419-549503,Dry,Breezy,3
FR2113-309911,Dry,Calm,0
FR1318-358196,Moderate,Windy,2
FR8234-960920,Dry,Breezy,3
EI0561-693778,Dry,Calm,0
FR4719-127835,Dry,Windy,3
FR3269-339842,Dry,Calm,3
